,Artist,Birth,Death,Acquisition
1,Christian de Portzamparc,1944,,1995
3,Bernard Tschumi,1944,,1995
5,Bernard Tschumi,1944,,1995
6,Bernard Tschumi,1944,,1995
7,Bernard Tschumi,1944,,1995
8,Bernard Tschumi,1944,,1995
9,Bernard Tschumi,1944,,1995
10,Bernard Tschumi,1944,,1995
11,Bernard Tschumi,1944,,1995
12,Bernard Tschumi,1944,,1995
13,Bernard Tschumi,1944,,1995
14,Bernard Tschumi,1944,,1995
15,Bernard Tschumi,1944,,1995
16,Bernard Tschumi,1944,,1995
17,Bernard Tschumi,1944,,1995
18,Bernard Tschumi,1944,,1995
19,Bernard Tschumi,1944,,1995
20,Bernard Tschumi,1944,,1995
21,Bernard Tschumi,1944,,1995
22,Bernard Tschumi,1944,,1995
23,Bernard Tschumi,1944,,1995
24,Bernard Tschumi,1944,,1995
25,Bernard Tschumi,1944,,1995
26,Bernard Tschumi,1944,,1995
27,Bernard Tschumi,1944,,1995
28,Bernard Tschumi,1944,,1995
29,Bernard Tschumi,1944,,1995
31,Bernard Tschumi,1944,,1995
33,Bernard Tschumi,1944,,1995
35,Bernard Tschumi,1944,,1995
37,Bernard Tschumi,1944,,1995
38,Bernard Tschumi,1944,,1995
39,Bernard Tschumi,1944,,1995
40,Bernard Tschumi,1944,,1995
41,Bernard Tschumi,1944,,1995
42,Bernard Tschumi,1944,,1995
43,Bernard Tschumi,1944,,1995
44,Bernard Tschumi,1944,,1995
45,Bernard Tschumi,1944,,1995
46,Bernard Tschumi,1944,,1995
47,Bernard Tschumi,1944,,1995
48,Bernard Tschumi,1944,,1995
49,Bernard Tschumi,1944,,1995
50,Bernard Tschumi,1944,,1995
51,Bernard Tschumi,1944,,1995
52,Bernard Tschumi,1944,,1995
53,Bernard Tschumi,1944,,1995
54,Bernard Tschumi,1944,,1995
55,Bernard Tschumi,1944,,1995
56,Bernard Tschumi,1944,,1995
57,Bernard Tschumi,1944,,1995
58,Bernard Tschumi,1944,,1995
59,Bernard Tschumi,1944,,1995
60,Bernard Tschumi,1944,,1995
61,Bernard Tschumi,1944,,1995
62,Bernard Tschumi,1944,,1995
66,Bernard Tschumi,1944,,2000
68,Bernard Tschumi,1944,,2000
106,Steven Holl,1947,,1989
107,Steven Holl,1947,,1989
109,Steven Holl,1947,,1989
112,Steven Holl,1947,,1989
114,Steven Holl,1947,,1989
116,Steven Holl,1947,,1989
118,Steven Holl,1947,,1989
120,Steven Holl,1947,,1989
122,Steven Holl,1947,,1989
124,Steven Holl,1947,,1989
126,Steven Holl,1947,,1989
128,Steven Holl,1947,,1989
130,Steven Holl,1947,,1989
142,Peter Cook,1936,,1992
144,Fumihiko Maki,1928,,1992
149,Mario Bellini,1935,,1988
150,Emilio Ambasz,1943,,1992
152,Tadao Ando,1941,,1993
153,Tadao Ando,1941,,1993
154,Tadao Ando,1941,,1993
155,Tadao Ando,1941,,1993
156,Arata Isozaki,1931,,1993
157,Arata Isozaki,1931,,1993
158,Arata Isozaki,1931,,1993
159,Arata Isozaki,1931,,1993
160,Arata Isozaki,1931,,1993
161,Arata Isozaki,1931,,1993
162,Arata Isozaki,1931,,1993
163,Arata Isozaki,1931,,1993
164,Arata Isozaki,1931,,1993
165,Arata Isozaki,1931,,1993
166,Arata Isozaki,1931,,1993
167,Arata Isozaki,1931,,1993
168,Bernard Tschumi,1944,,1993
179,Neil M. Denari,1957,,1998
181,David Jacob,1928,,1973
182,Mario Botta,1943,,1987
183,Mario Botta,1943,,1987
184,Mario Botta,1943,,1987
185,Mario Botta,1943,,1987
186,Mario Botta,1943,,1987
187,Mario Botta,1943,,1987
189,Mario Botta,1943,,1987
191,Mario Botta,1943,,1987
192,Mario Botta,1943,,1987
193,Mario Botta,1943,,1987
194,Mario Botta,1943,,1987
195,Mario Botta,1943,,1987
196,Mario Botta,1943,,1987
197,Mario Botta,1943,,1987
198,Mario Botta,1943,,1987
199,Mario Botta,1943,,1987
200,Mario Botta,1943,,1987
201,Mario Botta,1943,,1987
202,Mario Botta,1943,,1987
203,Mario Botta,1943,,1987
204,Mario Botta,1943,,1987
205,Mario Botta,1943,,1987
207,Alessandro Mendini,1931,,1975
212,Leon Krier,1946,,1986
219,Daniel Libeskind,1946,,1999
221,Joel Sanders,1956,,1999
222,Joel Sanders,1956,,1999
223,Massimo Scolari,1943,,1999
230,Leon Krier,1946,,1984
231,Leon Krier,1946,,1984
232,Leon Krier,1946,,1984
233,Richard Meier,1934,,1984
234,Richard Meier,1934,,1984
235,Richard Meier,1934,,1984
236,Richard Meier,1934,,1984
237,Richard Meier,1934,,1984
238,Richard Meier,1934,,1984
239,Richard Meier,1934,,1984
240,Richard Meier,1934,,1984
242,Emilio Ambasz,1943,,1996
243,Emilio Ambasz,1943,,1996
244,Tadao Ando,1941,,1996
245,Tadao Ando,1941,,1996
246,Tadao Ando,1941,,1996
247,Tadao Ando,1941,,1996
249,Tadao Ando,1941,,1996
250,Rafael Viñoly,1944,,1993
251,Mario Bellini,1935,,1996
252,Rafael Viñoly,1944,,1993
253,Rafael Viñoly,1944,,1993
254,Rafael Viñoly,1944,,1993
255,Rafael Viñoly,1944,,1993
256,Rafael Viñoly,1944,,1993
257,Rafael Viñoly,1944,,1993
258,Rafael Viñoly,1944,,1993
259,Mario Bellini,1935,,1996
260,Rafael Viñoly,1944,,1993
261,Mario Botta,1943,,1996
262,Santiago Calatrava,1951,,1996
263,Santiago Calatrava,1951,,1996
264,Norman Foster,1935,,1996
265,Norman Foster,1935,,1996
266,Norman Foster,1935,,1996
289,Arata Isozaki,1931,,1996
307,Emilio Ambasz,1943,,1994
309,Emilio Ambasz,1943,,1994
312,Emilio Ambasz,1943,,1994
315,Tadao Ando,1941,,1994
318,Mario Bellini,1935,,1994
321,Ricardo Bofill,1939,,1994
323,Mario Botta,1943,,1994
326,Ricardo Bofill,1939,,1985
327,Frank O. Gehry,1929,,1994
328,Leon Krier,1946,,1996
330,Ricardo Bofill,1939,,1985
331,Cesar Pelli,1926,,1996
333,Ricardo Bofill,1939,,1985
334,Chuck Hoberman,1956,,1994
335,Cesar Pelli,1926,,1996
337,Ricardo Bofill,1939,,1985
338,Steven Holl,1947,,1994
339,Cesar Pelli,1926,,1996
341,Ricardo Bofill,1939,,1985
343,Cesar Pelli,1926,,1996
345,Ricardo Bofill,1939,,1985
346,Leon Krier,1946,,1994
347,Cesar Pelli,1926,,1996
349,Ricardo Bofill,1939,,1985
350,Cesar Pelli,1926,,1996
352,Yoshito Takahashi,1962,,1994
353,Cesar Pelli,1926,,1996
355,Ricardo Bofill,1939,,1985
356,Bernard Tschumi,1944,,1994
357,Cesar Pelli,1926,,1996
359,Ricardo Bofill,1939,,1985
360,Rafael Viñoly,1944,,1994
361,Rafael Viñoly,1944,,1994
362,Rafael Viñoly,1944,,1994
363,Cesar Pelli,1926,,1996
366,Ricardo Bofill,1939,,1985
367,Cesar Pelli,1926,,1996
370,Ricardo Bofill,1939,,1985
371,Cesar Pelli,1926,,1996
375,Ricardo Bofill,1939,,1985
376,Cesar Pelli,1926,,1996
380,Ricardo Bofill,1939,,1985
381,Cesar Pelli,1926,,1996
385,Ricardo Bofill,1939,,1985
386,Cesar Pelli,1926,,1996
390,Ricardo Bofill,1939,,1985
396,Robert A. M. Stern,1939,,1996
400,Leon Krier,1946,,1985
404,Leon Krier,1946,,1985
405,Harry C. Wolf,1935,,1996
409,Leon Krier,1946,,1985
410,Mehrdad Yazdani,1959,,1996
413,Leon Krier,1946,,1985
416,Leon Krier,1946,,1985
419,Leon Krier,1946,,1985
422,Leon Krier,1946,,1985
