,Artist,Birth,Death,Acquisition
64,Raimund Abraham,1933,2010,1980
65,Roger C. Ferri,1949,1991,1980
67,Roger C. Ferri,1949,1991,1980
69,Roger C. Ferri,1949,1991,1980
70,Michael Graves,1934,2015,1980
71,Michael Graves,1934,2015,1980
72,Michael Graves,1934,2015,1980
73,Michael Graves,1934,2015,1980
111,Paolo Soleri,1919,2013,1966
132,Paul Rudolph,1918,1997,1989
134,Paul Rudolph,1918,1997,1989
136,Paul Rudolph,1918,1997,1989
143,Zaha Hadid,1950,2016,1992
151,Raimund Abraham,1933,2010,1995
188,R. Buckminster Fuller,1895,1983,1978
190,R. Buckminster Fuller,1895,1983,1978
210,Roberto Burle Marx,1909,1994,1954
226,Raimund Abraham,1933,2010,1965
227,Raimund Abraham,1933,2010,1965
228,Kenneth Snelson,1927,2016,1965
241,Raimund Abraham,1933,2010,1996
248,Raimund Abraham,1933,2010,1993
267,Zaha Hadid,1950,2016,1996
268,Zaha Hadid,1950,2016,1996
269,Zaha Hadid,1950,2016,1996
270,Zaha Hadid,1950,2016,1996
271,Zaha Hadid,1950,2016,1996
272,Zaha Hadid,1950,2016,1996
273,Zaha Hadid,1950,2016,1996
274,Zaha Hadid,1950,2016,1996
275,Zaha Hadid,1950,2016,1996
276,Zaha Hadid,1950,2016,1996
277,Zaha Hadid,1950,2016,1996
278,Zaha Hadid,1950,2016,1996
279,Zaha Hadid,1950,2016,1996
280,Zaha Hadid,1950,2016,1996
281,Zaha Hadid,1950,2016,1996
282,Zaha Hadid,1950,2016,1996
283,Zaha Hadid,1950,2016,1996
284,Zaha Hadid,1950,2016,1996
285,Zaha Hadid,1950,2016,1996
286,Zaha Hadid,1950,2016,1996
287,Zaha Hadid,1950,2016,1996
288,Louis I. Kahn,1901,1974,1967
290,Ludwig Mies van der Rohe,1886,1969,1966
291,Louis I. Kahn,1901,1974,1967
292,Louis I. Kahn,1901,1974,1967
294,Louis I. Kahn,1901,1974,1967
296,Louis I. Kahn,1901,1974,1967
298,Louis I. Kahn,1901,1974,1967
300,Louis I. Kahn,1901,1974,1967
301,Louis I. Kahn,1901,1974,1967
302,Louis I. Kahn,1901,1974,1967
303,Louis I. Kahn,1901,1974,1967
304,Louis I. Kahn,1901,1974,1967
305,Raimund Abraham,1933,2010,1994
306,Louis I. Kahn,1901,1974,1967
308,Louis I. Kahn,1901,1974,1967
310,Louis I. Kahn,1901,1974,1967
311,Jason Crum,1935,2004,1969
313,Louis I. Kahn,1901,1974,1967
314,Jason Crum,1935,2004,1969
316,Louis I. Kahn,1901,1974,1967
317,Jason Crum,1935,2004,1969
319,Louis I. Kahn,1901,1974,1967
320,Konrad Wachsmann,1901,1980,1969
322,Louis I. Kahn,1901,1974,1967
324,Louis I. Kahn,1901,1974,1967
325,Louis I. Kahn,1901,1974,1967
329,Louis I. Kahn,1901,1974,1967
332,Louis I. Kahn,1901,1974,1967
336,Louis I. Kahn,1901,1974,1967
340,Louis I. Kahn,1901,1974,1967
342,Hans Hollein,1934,2014,1994
344,Louis I. Kahn,1901,1974,1967
348,Louis I. Kahn,1901,1974,1967
351,Louis I. Kahn,1901,1974,1967
354,Louis I. Kahn,1901,1974,1967
358,Louis I. Kahn,1901,1974,1967
364,Louis I. Kahn,1901,1974,1964
365,Louis I. Kahn,1901,1974,1967
368,Louis I. Kahn,1901,1974,1964
369,Louis I. Kahn,1901,1974,1967
372,Louis I. Kahn,1901,1974,1964
373,Louis I. Kahn,1901,1974,1967
377,Louis I. Kahn,1901,1974,1964
378,Louis I. Kahn,1901,1974,1967
382,Louis I. Kahn,1901,1974,1964
383,Louis I. Kahn,1901,1974,1967
384,James Stirling,1926,1992,1982
387,Louis I. Kahn,1901,1974,1964
388,Louis I. Kahn,1901,1974,1967
389,James Stirling,1926,1992,1982
391,Paul Rudolph,1918,1997,1996
392,Louis I. Kahn,1901,1974,1964
393,Louis I. Kahn,1901,1974,1967
394,James Stirling,1926,1992,1982
397,Louis I. Kahn,1901,1974,1964
398,Louis I. Kahn,1901,1974,1967
399,James Stirling,1926,1992,1982
401,Louis I. Kahn,1901,1974,1964
402,Louis I. Kahn,1901,1974,1967
403,James Stirling,1926,1992,1982
406,Louis I. Kahn,1901,1974,1964
407,Louis I. Kahn,1901,1974,1967
408,James Stirling,1926,1992,1982
411,Louis I. Kahn,1901,1974,1964
412,Louis I. Kahn,1901,1974,1967
414,Louis I. Kahn,1901,1974,1964
415,Louis I. Kahn,1901,1974,1967
417,Louis I. Kahn,1901,1974,1964
418,Louis I. Kahn,1901,1974,1967
420,Louis I. Kahn,1901,1974,1964
421,Louis I. Kahn,1901,1974,1967
423,Louis I. Kahn,1901,1974,1964
424,Louis I. Kahn,1901,1974,1967
426,Louis I. Kahn,1901,1974,1964
427,Louis I. Kahn,1901,1974,1967
429,Louis I. Kahn,1901,1974,1964
430,Louis I. Kahn,1901,1974,1967
432,Louis I. Kahn,1901,1974,1964
433,Louis I. Kahn,1901,1974,1967
434,Paul Rudolph,1918,1997,1985
435,Louis I. Kahn,1901,1974,1964
436,Louis I. Kahn,1901,1974,1967
437,Paul Rudolph,1918,1997,1985
438,Louis I. Kahn,1901,1974,1964
439,Louis I. Kahn,1901,1974,1967
440,Paul Rudolph,1918,1997,1985
441,Louis I. Kahn,1901,1974,1964
442,Louis I. Kahn,1901,1974,1967
443,Paul Rudolph,1918,1997,1985
444,Louis I. Kahn,1901,1974,1964
445,Louis I. Kahn,1901,1974,1967
446,Louis I. Kahn,1901,1974,1964
447,Louis I. Kahn,1901,1974,1967
448,Louis I. Kahn,1901,1974,1964
449,Louis I. Kahn,1901,1974,1967
450,Louis I. Kahn,1901,1974,1964
451,Louis I. Kahn,1901,1974,1967
452,Louis I. Kahn,1901,1974,1964
453,Louis I. Kahn,1901,1974,1967
454,Louis I. Kahn,1901,1974,1964
455,Louis I. Kahn,1901,1974,1967
456,Louis I. Kahn,1901,1974,1964
457,Louis I. Kahn,1901,1974,1967
458,Louis I. Kahn,1901,1974,1964
459,Louis I. Kahn,1901,1974,1967
460,Louis I. Kahn,1901,1974,1964
461,Louis I. Kahn,1901,1974,1967
462,Louis I. Kahn,1901,1974,1964
463,Louis I. Kahn,1901,1974,1967
464,Louis I. Kahn,1901,1974,1964
465,Louis I. Kahn,1901,1974,1967
466,Louis I. Kahn,1901,1974,1964
467,Louis I. Kahn,1901,1974,1967
468,Louis I. Kahn,1901,1974,1964
469,Louis I. Kahn,1901,1974,1967
470,Louis I. Kahn,1901,1974,1964
471,Louis I. Kahn,1901,1974,1967
472,Louis I. Kahn,1901,1974,1964
473,Louis I. Kahn,1901,1974,1967
474,Louis I. Kahn,1901,1974,1964
475,Louis I. Kahn,1901,1974,1967
476,Oscar Nitzchke,1900,1991,1976
477,Oscar Nitzchke,1900,1991,1976
478,Oscar Nitzchke,1900,1991,1976
479,Oscar Nitzchke,1900,1991,1976
480,Oscar Nitzchke,1900,1991,1976
481,Oscar Nitzchke,1900,1991,1976
482,Oscar Nitzchke,1900,1991,1976
483,Oscar Nitzchke,1900,1991,1976
484,Oscar Nitzchke,1900,1991,1976
485,Oscar Nitzchke,1900,1991,1976
486,Oscar Nitzchke,1900,1991,1976
487,Louis I. Kahn,1901,1974,1967
488,Edward Larrabee Barnes,1915,2004,1992
489,Louis I. Kahn,1901,1974,1967
490,Louis I. Kahn,1901,1974,1967
491,Kisho Kurokawa,1934,2007,1992
492,Louis I. Kahn,1901,1974,1967
493,Kisho Kurokawa,1934,2007,1992
494,Louis I. Kahn,1901,1974,1967
496,Louis I. Kahn,1901,1974,1967
498,Louis I. Kahn,1901,1974,1967
500,Hans Hollein,1934,2014,1967
502,Hans Hollein,1934,2014,1967
504,Hans Hollein,1934,2014,1967
506,Hans Hollein,1934,2014,1967
508,Hans Hollein,1934,2014,1967
510,Hans Hollein,1934,2014,1967
512,Hans Hollein,1934,2014,1967
514,Hans Hollein,1934,2014,1967
521,Ludwig Mies van der Rohe,1886,1969,1964
523,Ludwig Mies van der Rohe,1886,1969,1964
546,Hans Hollein,1934,2014,1963
547,Hans Hollein,1934,2014,1963
548,Walter Pichler,1936,2012,1963
549,Walter Pichler,1936,2012,1963
550,Walter Pichler,1936,2012,1963
551,Walter Pichler,1936,2012,1963
552,Ludwig Mies van der Rohe,1886,1969,1963
